,TV,radio,newspaper,sales
1,230.1,37.8,69.2,22100
2,44.5,39.3,45.1,10400
3,17.2,45.9,69.3,9300
4,151.5,41.3,58.5,18500
5,180.8,10.8,58.4,12900
6,8.7,48.9,75,7200
7,57.5,32.8,23.5,11800
8,120.2,19.6,11.6,13200
9,8.6,2.1,1,4800
10,199.8,2.6,21.2,10600
11,66.1,5.8,24.2,8600
12,214.7,24,4,17400
13,23.8,35.1,65.9,9200
14,97.5,7.6,7.2,9700
15,204.1,32.9,46,19000
16,195.4,47.7,52.9,22400
17,67.8,36.6,114,12500
18,281.4,39.6,55.8,24400
19,69.2,20.5,18.3,11300
20,147.3,23.9,19.1,14600
21,218.4,27.7,53.4,18000
22,237.4,5.1,23.5,12500
23,13.2,15.9,49.6,5600
24,228.3,16.9,26.2,15500
25,62.3,12.6,18.3,9700
26,262.9,3.5,19.5,12000
27,142.9,29.3,12.6,15000
28,240.1,16.7,22.9,15900
29,248.8,27.1,22.9,18900
30,70.6,16,40.8,10500
31,292.9,28.3,43.2,21400
32,112.9,17.4,38.6,11900
33,97.2,1.5,30,9600
34,265.6,20,0.3,17400
35,95.7,1.4,7.4,9500
36,290.7,4.1,8.5,12800
37,266.9,43.8,5,25400
38,74.7,49.4,45.7,14700
39,43.1,26.7,35.1,10100
40,228,37.7,32,21500
41,202.5,22.3,31.6,16600
42,177,33.4,38.7,17100
43,293.6,27.7,1.8,20700
44,206.9,8.4,26.4,12900
45,25.1,25.7,43.3,8500
46,175.1,22.5,31.5,14900
47,89.7,9.9,35.7,10600
48,239.9,41.5,18.5,23200
49,227.2,15.8,49.9,14800
50,66.9,11.7,36.8,9700
51,199.8,3.1,34.6,11400
52,100.4,9.6,3.6,10700
53,216.4,41.7,39.6,22600
54,182.6,46.2,58.7,21200
55,262.7,28.8,15.9,20200
56,198.9,49.4,60,23700
57,7.3,28.1,41.4,5500
58,136.2,19.2,16.6,13200
59,210.8,49.6,37.7,23800
60,210.7,29.5,9.3,18400
61,53.5,2,21.4,8100
62,261.3,42.7,54.7,24200
63,239.3,15.5,27.3,15700
64,102.7,29.6,8.4,14000
65,131.1,42.8,28.9,18000
66,69,9.3,0.9,9300
67,31.5,24.6,2.2,9500
68,139.3,14.5,10.2,13400
69,237.4,27.5,11,18900
70,216.8,43.9,27.2,22300
71,199.1,30.6,38.7,18300
72,109.8,14.3,31.7,12400
73,26.8,33,19.3,8800
74,129.4,5.7,31.3,11000
75,213.4,24.6,13.1,17000
76,16.9,43.7,89.4,8700
77,27.5,1.6,20.7,6900
78,120.5,28.5,14.2,14200
79,5.4,29.9,9.4,5300
80,116,7.7,23.1,11000
81,76.4,26.7,22.3,11800
82,239.8,4.1,36.9,12300
83,75.3,20.3,32.5,11300
84,68.4,44.5,35.6,13600
85,213.5,43,33.8,21700
86,193.2,18.4,65.7,15200
87,76.3,27.5,16,12000
88,110.7,40.6,63.2,16000
89,88.3,25.5,73.4,12900
90,109.8,47.8,51.4,16700
91,134.3,4.9,9.3,11200
92,28.6,1.5,33,7300
93,217.7,33.5,59,19400
94,250.9,36.5,72.3,22200
95,107.4,14,10.9,11500
96,163.3,31.6,52.9,16900
97,197.6,3.5,5.9,11700
98,184.9,21,22,15500
99,289.7,42.3,51.2,25400
100,135.2,41.7,45.9,17200
101,222.4,4.3,49.8,11700
102,296.4,36.3,100.9,23800
103,280.2,10.1,21.4,14800
104,187.9,17.2,17.9,14700
105,238.2,34.3,5.3,20700
106,137.9,46.4,59,19200
107,25,11,29.7,7200
108,90.4,0.3,23.2,8700
109,13.1,0.4,25.6,5300
110,255.4,26.9,5.5,19800
111,225.8,8.2,56.5,13400
112,241.7,38,23.2,21800
113,175.7,15.4,2.4,14100
114,209.6,20.6,10.7,15900
115,78.2,46.8,34.5,14600
116,75.1,35,52.7,12600
117,139.2,14.3,25.6,12200
118,76.4,0.8,14.8,9400
119,125.7,36.9,79.2,15900
120,19.4,16,22.3,6600
121,141.3,26.8,46.2,15500
122,18.8,21.7,50.4,7000
123,224,2.4,15.6,11600
124,123.1,34.6,12.4,15200
125,229.5,32.3,74.2,19700
126,87.2,11.8,25.9,10600
127,7.8,38.9,50.6,6600
128,80.2,0,9.2,8800
129,220.3,49,3.2,24700
130,59.6,12,43.1,9700
131,0.7,39.6,8.7,1600
132,265.2,2.9,43,12700
133,8.4,27.2,2.1,5700
134,219.8,33.5,45.1,19600
135,36.9,38.6,65.6,10800
136,48.3,47,8.5,11600
137,25.6,39,9.3,9500
138,273.7,28.9,59.7,20800
139,43,25.9,20.5,9600
140,184.9,43.9,1.7,20700
141,73.4,17,12.9,10900
142,193.7,35.4,75.6,19200
143,220.5,33.2,37.9,20100
144,104.6,5.7,34.4,10400
145,96.2,14.8,38.9,11400
146,140.3,1.9,9,10300
147,240.1,7.3,8.7,13200
148,243.2,49,44.3,25400
149,38,40.3,11.9,10900
150,44.7,25.8,20.6,10100
151,280.7,13.9,37,16100
152,121,8.4,48.7,11600
153,197.6,23.3,14.2,16600
154,171.3,39.7,37.7,19000
155,187.8,21.1,9.5,15600
156,4.1,11.6,5.7,3200
157,93.9,43.5,50.5,15300
158,149.8,1.3,24.3,10100
159,11.7,36.9,45.2,7300
160,131.7,18.4,34.6,12900
161,172.5,18.1,30.7,14400
162,85.7,35.8,49.3,13300
163,188.4,18.1,25.6,14900
164,163.5,36.8,7.4,18000
165,117.2,14.7,5.4,11900
166,234.5,3.4,84.8,11900
167,17.9,37.6,21.6,8000
168,206.8,5.2,19.4,12200
169,215.4,23.6,57.6,17100
170,284.3,10.6,6.4,15000
171,50,11.6,18.4,8400
172,164.5,20.9,47.4,14500
173,19.6,20.1,17,7600
174,168.4,7.1,12.8,11700
175,222.4,3.4,13.1,11500
176,276.9,48.9,41.8,27000
177,248.4,30.2,20.3,20200
178,170.2,7.8,35.2,11700
179,276.7,2.3,23.7,11800
180,165.6,10,17.6,12600
181,156.6,2.6,8.3,10500
182,218.5,5.4,27.4,12200
183,56.2,5.7,29.7,8700
184,287.6,43,71.8,26200
185,253.8,21.3,30,17600
186,205,45.1,19.6,22600
187,139.5,2.1,26.6,10300
188,191.1,28.7,18.2,17300
189,286,13.9,3.7,15900
190,18.7,12.1,23.4,6700
191,39.5,41.1,5.8,10800
192,75.5,10.8,6,9900
193,17.2,4.1,31.6,5900
194,166.8,42,3.6,19600
195,149.7,35.6,6,17300
196,38.2,3.7,13.8,7600
197,94.2,4.9,8.1,9700
198,177,9.3,6.4,12800
199,283.6,42,66.2,25500
200,232.1,8.6,8.7,13400
