A̱o,PIB,ECO2
1990,261253582806,"92540,00092"
1991,313142768453,"93800,00305"
1992,363157598242,"93269,99664"
1993,500736065605,"100790,0009"
1994,527813238126,"101559,9976"
1995,360073909244,"101489,9979"
1996,410975595310,102250
1997,500413483109,"104870,0027"
1998,526502129378,"105760,0021"
1999,600232874043,"104599,9985"
2000,707906744575,"107599,9985"
2001,756706300590,"108150,0015"
2002,772106378935,111000
2003,729336319677,"115110,0006"
2004,782240601985,"116209,9991"
2005,877476221382,"117650,0015"
2006,975387131716,"120809,9976"
2007,1052696282279,"121779,9988"
2008,1109989063587,"123169,9982"
2009,900045350649,"123529,9988"
2010,1057801295584,"125169,9982"
2011,1180489601958,"127940,0024"
2012,1201089987015,"127459,9991"
2013,1274443084717,"121279,9988"
2014,1315351183525,"129869,9951"
2015,1171867608198,"137470,0012"
2016,1078490651625,"137740,0055"
2017,1158913035796,"136020,0043"
2018,1222408203104,"137679,9927"
2019,1269011767479,"138800,0031"
2020,1090515389749,"3,396834156"
2021,1272839334119,"5,689208477"