descripcion,sku
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior 1800K""",TLED-280-2110/1800K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BC""",TLED-280-2110/3000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BN""",TLED-280-2110/4000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior LD""",TLED-280-2110/6000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior""",TLED-280-2110/DUAL
"Tira flexible 60 LEDs x metro, 2835 SMD, exterior",TLED-2835-IP66-SS
"""Tira flexible 30 LEDs x metro, 5050 SMD, interior""",TLED-30-5050/RGB
"""Tira flexible 30 LEDs x metro, 5050 SMD, sumergible""",TLED-30-IP68-12V/RGB
"""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",TLED-60-IP67-RGBW/BC
"""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",TLED-60-IP67-RGBW/LD
"""Tira flexible 90 LEDs, 2835 SMD 48 V interior""",TLED-90-2835/BC
"""Tira flexible 90 LEDs, 2835 SMD 48 V interior""",TLED-90-2835/BN
"""Tira flexible 90 LEDs, 2835 SMD 48 V interior""",TLED-90-2835/LD
"""Tira flexible 90 LEDs, 2835 SMD 48 V exterior""",TLED-90-2835-IP44/BC
"""Tira flexible 90 LEDs, 2835 SMD 48 V exterior""",TLED-90-2835-IP44/BN
"""Tira flexible 90 LEDs, 2835 SMD 48 V exterior""",TLED-90-2835-IP44/LD
"Tira flexible 480 LEDs x metro, LED COB,  interior",TLED-COB-10W/AZ
"""Tira flexible 480 LEDs x metro, LED COB,  interior""",TLED-COB-10W/BC
"""Tira flexible 480 LEDs x metro, LED COB,  interior""",TLED-COB-10W/BN
"""Tira flexible 840 LEDs, LED COB  interior""",TLED-COB-10W/DUAL
"""Tira flexible 480 LEDs x metro, LED COB,  interior""",TLED-COB-10W/LD
"Tira flexible 480 LEDs x metro, LED COB,  interior",TLED-COB-10W/RO
"Tira flexible 480 LEDs x metro, LED COB,  interior",TLED-COB-10W/VE
"Tira RGB flexible 420 LEDs x metro, LED COB,  interior",TLED-COB-15W/RGB
Conector para conexiones en paralelo,TLED-CON-H
Conector para conexiones en serie,TLED-CON-T
TIRA LED RGB DE 1.5 M CON SENSOR DE MOVIMIENTO,TL-RGB-1M
Tira Led RGB de 3 Metros con Sensor de movimiento,TL-RGB-2M
TIRA LED RGB CON CONTROLADOR DE INFRAROJO,TL-RGB-CI
Tira RGBW Controlada Mediante Infrarrojo,TL-RGBW-CI
Arbotante con sensor de movimiento PIR,TSM-007/LED-S
Temporizador (Timer) Digital p/interior Doble contacto,TT-158
Temporizador (Timer) Mecanico p/interior Doble contacto,TTM-158
CARGADOR USB TIPO POP-UP EN COLOR BLANCO,USB-POP-C/BN
CARGADOR USB TIPO POP-UP EN COLOR NEGRO,USB-POP-C/NG
CARGADOR USB TIPO POP-UP EN COLOR METAL,USB-POP-C/SS
Arbotante led con sistema de vigilancia y sensor de movimiento,A-LED-1906-S
Arbotante led con sistema de vigilancia y sensor de movimiento,A-LED-6295-B
"""Driver 12 V DC, 100 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-100W-PR-S
"""Driver, 12 V DC, 12 Watts, IP20 uso interior, plug in""",DRIVERLED-12V-12W-PI-L
"""Driver 12 V DC, 150 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-150W-PR-S
"""Driver 12 V DC, 200 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-200W-PR-S
"""Driver, 12 V DC, 24 Watts, IP20 uso interior, plug in""",DRIVERLED-12V-24W-PI-L
"""Driver 12 V DC, 25 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-25W-PR-S
"""Driver 12 V DC, 360 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-360W-PR-S
"""Driver 12 V DC, 480 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-480W-PR-S
"""Driver, 12 V DC, 48 Watts, IP20 uso interior, plug in""",DRIVERLED-12V-48W-PI-L
"""Driver 12 V DC, 60 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-60W-PR-S
"""Driver, 12 V DC, 72 Watts, IP20 uso interior, plug in""",DRIVERLED-12V-72W-PI-L
"""Driver 24 V DC, 120 Watts, IP20 uso interior, proyectos""",DRIVERLED-24V-120W-PR-S
"""Driver 24 V DC, 180 Watts, IP20 uso interior, proyectos""",DRIVERLED-24V-180W-PR-S
"""Driver 24 V DC, 360 Watts, IP20 uso interior, proyectos""",DRIVERLED-24V-360W-PR-S
"""Driver, 24 V DC, 36 Watts, IP20 uso interior, plug in""",DRIVERLED-24V-36W-PI-L
"""Driver 24 V DC, 60 Watts, IP20 uso interior, atenuable""",DRIVERLED-24V-60W-DIM
"""Driver 48 V DC, 360 Watts, IP20 uso interior, proyectos""",DRIVERLED-48V-360W-PR-S
"""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",MLED-NEON-20-127V/VE
Luminario arbotante de 1.5m en color aluminio brillante con iluminación blanco neutro,PEGASI-VI-ALB-BN
Luminario arbotante de 1.5m en color aluminio brillante con iluminación Dual,PEGASI-VI-ALB-DUAL
Luminario arbotante de 1.5m en color aluminio brillante con iluminación luz de día,PEGASI-VI-ALB-LD
Luminario arbotante de 1.5m en color aluminio brillante con iluminación RGB,PEGASI-VI-ALB-RGB
Luminario arbotante de 1.5m en color aluminio brillante con iluminación CHASING,PEGASI-VI-ALB-TCH
Luminario arbotante de 1.5m en color blanco con iluminación blanco calido,PEGASI-VI-BN-BC
Luminario arbotante de 1.5m en color blanco con iluminación blanco neutro,PEGASI-VI-BN-BN
Luminario arbotante de 1.5m en color blanco con iluminación Dual,PEGASI-VI-BN-DUAL
Luminario arbotante de 1.5m en color blanco con iluminación luz de día,PEGASI-VI-BN-LD
Luminario arbotante de 1.5m en color blanco con iluminación RGB,PEGASI-VI-BN-RGB
Luminario arbotante de 1.5m en color blanco con iluminación CHASING,PEGASI-VI-BN-TCH
Luminario arbotante de 1.5m en color champagne con iluminación blanco calido,PEGASI-VI-CH-BC
Luminario arbotante de 1.5m en color champagne con iluminación blanco neutro,PEGASI-VI-CH-BN
Luminario arbotante de 1.5m en color champagne con iluminación Dual,PEGASI-VI-CH-DUAL
Luminario arbotante de 1.5m en color champagne con iluminación luz de día,PEGASI-VI-CH-LD
Luminario arbotante de 1.5m en color champagne con iluminación RGB,PEGASI-VI-CH-RGB
Luminario arbotante de 1.5m en color champagne con iluminación CHASING,PEGASI-VI-CH-TCH
Luminario arbotante de 1.5m en color gris con iluminación blanco calido,PEGASI-VI-GR-BC
Luminario arbotante de 1.5m en color gris con iluminación blanco neutro,PEGASI-VI-GR-BN
Luminario arbotante de 1.5m en color gris con iluminación Dual,PEGASI-VI-GR-DUAL
Luminario arbotante de 1.5m en color gris con iluminación luz de día,PEGASI-VI-GR-LD
Luminario arbotante de 1.5m en color gris con iluminación RGB,PEGASI-VI-GR-RGB
Luminario arbotante de 1.5m en color gris con iluminación CHASING,PEGASI-VI-GR-TCH
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación blanco calido,PEGASI-VII-ALB-BC
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación blanco neutro,PEGASI-VII-ALB-BN
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación Dual,PEGASI-VII-ALB-DUAL
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación luz de día,PEGASI-VII-ALB-LD
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación RGB,PEGASI-VII-ALB-RGB
Luminario arbotante de tamaño corto en color aluminio brillante con iluminación CHASING,PEGASI-VII-ALB-TCH
Luminario arbotante de tamaño corto en color blanco con iluminación blanco calido,PEGASI-VII-BN-BC
Luminario arbotante de tamaño corto en color blanco con iluminación blanco neutro,PEGASI-VII-BN-BN
Luminario arbotante de tamaño corto en color blanco con iluminación Dual,PEGASI-VII-BN-DUAL
Luminario arbotante de tamaño corto en color blanco con iluminación luz de día,PEGASI-VII-BN-LD
Luminario arbotante de tamaño corto en color blanco con iluminación RGB,PEGASI-VII-BN-RGB
Luminario arbotante de tamaño corto en color blanco con iluminación CHASING,PEGASI-VII-BN-TCH
Luminario arbotante de tamaño corto en color champagne con iluminación blanco calido,PEGASI-VII-CH-BC
Luminario arbotante de tamaño corto en color champagne con iluminación blanco neutro,PEGASI-VII-CH-BN
Luminario arbotante de tamaño corto en color champagne con iluminación Dual,PEGASI-VII-CH-DUAL
Luminario arbotante de tamaño corto en color champagne con iluminación luz de día,PEGASI-VII-CH-LD
Luminario arbotante de tamaño corto en color champagne con iluminación RGB,PEGASI-VII-CH-RGB
Luminario arbotante de tamaño corto en color champagne con iluminación CHASING,PEGASI-VII-CH-TCH
Luminario arbotante de tamaño corto en color gris con iluminación blanco calido,PEGASI-VII-GR-BC
Luminario arbotante de tamaño corto en color gris con iluminación blanco neutro,PEGASI-VII-GR-BN
Luminario arbotante de tamaño corto en color gris con iluminación Dual,PEGASI-VII-GR-DUAL
Luminario arbotante de tamaño corto en color gris con iluminación luz de día,PEGASI-VII-GR-LD
Luminario arbotante de tamaño corto en color gris con iluminación RGB,PEGASI-VII-GR-RGB
Luminario arbotante de tamaño corto en color gris con iluminación CHASING,PEGASI-VII-GR-TCH
Luminario arbotante de tamaño corto en color madera nogal con iluminación blanco calido,PEGASI-VII-MN-BC
Luminario arbotante de tamaño corto en color madera nogal con iluminación blanco neutro,PEGASI-VII-MN-BN
Luminario arbotante de tamaño corto en color madera nogal con iluminación Dual,PEGASI-VII-MN-DUAL
Luminario arbotante de tamaño corto en color madera nogal con iluminación luz de día,PEGASI-VII-MN-LD
Luminario arbotante de tamaño corto en color madera nogal con iluminación RGB,PEGASI-VII-MN-RGB
Luminario arbotante de tamaño corto en color madera nogal con iluminación CHASING,PEGASI-VII-MN-TCH
Luminario arbotante de tamaño corto en color madera obscura con iluminación blanco calido,PEGASI-VII-MO-BC
Luminario arbotante de tamaño corto en color madera obscura con iluminación blanco neutro,PEGASI-VII-MO-BN
Luminario arbotante de tamaño corto en color madera obscura con iluminación Dual,PEGASI-VII-MO-DUAL
Luminario arbotante de tamaño corto en color madera obscura con iluminación luz de día,PEGASI-VII-MO-LD
Luminario arbotante de tamaño corto en color madera obscura con iluminación RGB,PEGASI-VII-MO-RGB
Luminario arbotante de tamaño corto en color madera obscura con iluminación CHASING,PEGASI-VII-MO-TCH
Luminario arbotante de tamaño corto en color negro brillante con iluminación blanco calido,PEGASI-VII-NBR-BC
Luminario arbotante de tamaño corto en color negro brillante con iluminación blanco neutro,PEGASI-VII-NBR-BN
Luminario arbotante de tamaño corto en color negro brillante con iluminación Dual,PEGASI-VII-NBR-DUAL
Luminario arbotante de tamaño corto en color negro brillante con iluminación luz de día,PEGASI-VII-NBR-LD
Luminario arbotante de tamaño corto en color negro brillante con iluminación RGB,PEGASI-VII-NBR-RGB
Luminario arbotante de tamaño corto en color negro brillante con iluminación CHASING,PEGASI-VII-NBR-TCH
Luminario arbotante de tamaño corto en color negro con iluminación blanco calido,PEGASI-VII-NG-BC
Luminario arbotante de tamaño corto en color negro con iluminación blanco neutro,PEGASI-VII-NG-BN
Luminario arbotante de tamaño corto en color negro con iluminación Dual,PEGASI-VII-NG-DUAL
Luminario arbotante de tamaño corto en color negro con iluminación luz de día,PEGASI-VII-NG-LD
Luminario arbotante de tamaño corto en color negro con iluminación RGB,PEGASI-VII-NG-RGB
Luminario arbotante de tamaño corto en color negro con iluminación CHASING,PEGASI-VII-NG-TCH
Luminario arbotante de tamaño corto en color negro rugoso con iluminación blanco calido,PEGASI-VII-NR-BC
Luminario arbotante de tamaño corto en color negro rugoso con iluminación blanco neutro,PEGASI-VII-NR-BN
Luminario arbotante de tamaño corto en color negro rugoso con iluminación Dual,PEGASI-VII-NR-DUAL
Luminario arbotante de tamaño corto en color negro rugoso con iluminación luz de día,PEGASI-VII-NR-LD
Luminario arbotante de tamaño corto en color negro rugoso con iluminación RGB,PEGASI-VII-NR-RGB
Luminario arbotante de tamaño corto en color negro rugoso con iluminación CHASING,PEGASI-VII-NR-TCH
Luminario arbotante de 1.5m en color madera nogal con iluminación blanco calido,PEGASI-VI-MN-BC
Luminario arbotante de 1.5m en color madera nogal con iluminación blanco neutro,PEGASI-VI-MN-BN
Luminario arbotante de 1.5m en color madera nogal con iluminación Dual,PEGASI-VI-MN-DUAL
Luminario arbotante de 1.5m en color madera nogal con iluminación luz de día,PEGASI-VI-MN-LD
Luminario arbotante de 1.5m en color madera nogal con iluminación RGB,PEGASI-VI-MN-RGB
Luminario arbotante de 1.5m en color madera nogal con iluminación CHASING,PEGASI-VI-MN-TCH
Luminario arbotante de 1.5m en color madera obsura con iluminación blanco calido,PEGASI-VI-MO-BC
Luminario arbotante de 1.5m en color madera obscura con iluminación blanco neutro,PEGASI-VI-MO-BN
Luminario arbotante de 1.5m en color madera obscura con iluminación Dual,PEGASI-VI-MO-DUAL
Luminario arbotante de 1.5m en color madera obscura con iluminación luz de día,PEGASI-VI-MO-LD
Luminario arbotante de 1.5m en color madera obscura con iluminación RGB,PEGASI-VI-MO-RGB
Luminario arbotante de 1.5m en color madera obscura con iluminación CHASING,PEGASI-VI-MO-TCH
Luminario arbotante de 1.5m en color negro brillante con iluminación blanco calido,PEGASI-VI-NBR-BC
Luminario arbotante de 1.5m en color negro brillante con iluminación blanco neutro,PEGASI-VI-NBR-BN
Luminario arbotante de 1.5m en color negro brillante con iluminación Dual,PEGASI-VI-NBR-DUAL
Luminario arbotante de 1.5m en color negro brillante con iluminación luz de día,PEGASI-VI-NBR-LD
Luminario arbotante de 1.5m en color negro brillante con iluminación RGB,PEGASI-VI-NBR-RGB
Luminario arbotante de 1.5m en color negro brillante con iluminación CHASING,PEGASI-VI-NBR-TCH
Luminario arbotante de 1.5m en color negro con iluminación blanco calido,PEGASI-VI-NG-BC
Luminario arbotante de 1.5m en color negro con iluminación blanco neutro,PEGASI-VI-NG-BN
Luminario arbotante de 1.5m en color negro con iluminación Dual,PEGASI-VI-NG-DUAL
Luminario arbotante de 1.5m en color negro con iluminación luz de día,PEGASI-VI-NG-LD
Luminario arbotante de 1.5m en color negro con iluminación RGB,PEGASI-VI-NG-RGB
Luminario arbotante de 1.5m en color negro con iluminación CHASING,PEGASI-VI-NG-TCH
Luminario arbotante de 1.5m en color negro rugoso con iluminación blanco calido,PEGASI-VI-NR-BC
Luminario arbotante de 1.5m en color negro rugoso con iluminación blanco neutro,PEGASI-VI-NR-BN
Luminario arbotante de 1.5m en color negro rugoso con iluminación Dual,PEGASI-VI-NR-DUAL
Luminario arbotante de 1.5m en color negro rugoso con iluminación luz de día,PEGASI-VI-NR-LD
Luminario arbotante de 1.5m en color negro rugoso con iluminación RGB,PEGASI-VI-NR-RGB
Luminario arbotante de 1.5m en color negro rugoso con iluminación CHASING,PEGASI-VI-NR-TCH
Soporte negro para perfil tipo barandal,PL-200-5252-NG3
Accesorio para suspender Perfil,PL-ACC-SP
Juego de tapas para perfil de closet en color blanco,PLMX-250-1524-1-B
JUEGO DE TAPAS PARA PERFIL DE CLOSET EN COLOR GRIS,PLMX-250-1524-1-G
Juego de tapas para perfil de closet en color negro,PLMX-250-1524-1-N
ACCESORIO DE SOPORTE CENTRAL P/ TUBO OVAL,PLMX-250-1524-2
ACCESORIOS SOPORTE FINAL BRIDA P/ TUBO OVAL,PLMX-250-1524-3
Perfil lineal de aluminio para closet en color aluminio,PLMX-250-1524-AL
Perfil lineal de aluminio para closet en color aluminio brillante,PLMX-250-1524-ALB
Perfil lineal de aluminio para closet en color blanco,PLMX-250-1524-BN
Perfil lineal de aluminio para closet en color champagne,PLMX-250-1524-CH
Perfil lineal de aluminio para closet en color gris,PLMX-250-1524-GR
Perfil lineal de aluminio para closet en color madera nogal,PLMX-250-1524-MN
Perfil lineal de aluminio para closet en color madera obscura,PLMX-250-1524-MO
Perfil lineal de aluminio para closet en color negro brillante,PLMX-250-1524-NBR
Perfil lineal de aluminio para closet en color negro,PLMX-250-1524-NG
Perfil lineal de aluminio para closet en color negro rugoso,PLMX-250-1524-NR
"Tira flexible 280 LEDs, 2110 SMD, 24V, exterior",TLED-280-2110-IP66-BC
"Tira flexible 280 LEDs, 2110 SMD, 24V, exterior",TLED-280-2110-IP66-BN
"Tira flexible 280 LEDs, 2110 SMD, 24V, exterior",TLED-280-2110-IP66-LD
Luminario para sobreponer con simulacion de transcurso de día cielo azul 120x60,EWINDOW-120X60/BLUE-SKY/SMF
Luminario para empotrar con simulacion de transcurso de día con nubes 120x60,EWINDOW-120X60/CLOUDY-SKY/RMF
Luminario para empotrar con simulacion de transcurso de día cielo azul 60x60,EWINDOW-60X60/BLUE-SKY/RMF
Panel de control para luminarias Ewindow,EWINDOW-CONTROL-PANEL
Cubierta completa para perfil multiusos color Negro,PLMX-250-8452-C1-N
Cubierta completa para perfil multiusos color negro,PLMX-250-8452-C2-N
Accesorio para sobreponer regleta flexible,ACC-PSR
Arbotante led con sistema de vigilancia y sensor de movimiento,A-LED-2671-S
Fuente de poder para tira IP45,MLED-127V-IP45-FP-CD
Perfil lineal para esquina de aluminio en color Blanco,PLMX-250-1818U-BN
Accesorio de unión para perfil multiusos a 60° internos,PLMX-250-8452-13
"""Regleta tipo tira LED, 5050 SMD, exterior""",REGLED-16W-TLED-RGB
ACCESORIO PARA EMPOTRAR PERFIL LINEAL MULTIUSOS,PLMX-250-8452-EM
Luminarios suspendio con tres rectangulos de iluminación en color madera obscura con iluminación blanco neutro,MESSIER-II-MO-BN
Soporte para perfil tipo barandal,PL-200-5252-3
Luminarios suspendio con tres rectangulos de iluminación en color blanco mate con iluminación blanco calido,MESSIER-II-BN-BC
Luminarios suspendio con tres rectangulos de iluminación en color blanco mate con iluminación blanco neutro,MESSIER-II-BN-BN
Luminarios suspendio con tres rectangulos de iluminación en color blanco mate con iluminación luz de día,MESSIER-II-BN-LD
Luminarios suspendio con tres rectangulos de iluminación en color champagne con iluminación blanco calido,MESSIER-II-CH-BC
Luminarios suspendio con tres rectangulos de iluminación en color champagne con iluminación blanco neutro,MESSIER-II-CH-BN
Luminarios suspendio con tres rectangulos de iluminación en color champagne con iluminación luz de día,MESSIER-II-CH-LD
Luminarios suspendio con tres rectangulos de iluminación en color gris con iluminación blanco calido,MESSIER-II-GR-BC
Luminarios suspendio con tres rectangulos de iluminación en color gris con iluminación blanco neutro,MESSIER-II-GR-BN
Luminarios suspendio con tres rectangulos de iluminación en color gris con iluminación luz de día,MESSIER-II-GR-LD
Luminarios suspendio con tres rectangulos de iluminación en color madera nogal con iluminación blanco calido,MESSIER-II-MN-BC
Luminarios suspendio con tres rectangulos de iluminación en color madera nogal con iluminación blanco neutro,MESSIER-II-MN-BN
Luminarios suspendio con tres rectangulos de iluminación en color madera nogal con iluminación luz de día,MESSIER-II-MN-LD
Luminarios suspendio con tres rectangulos de iluminación en color madera obscura con iluminación blanco calido,MESSIER-II-MO-BC
Luminarios suspendio con tres rectangulos de iluminación en color madera obscura con iluminación luz de día,MESSIER-II-MO-LD
Luminarios suspendio con tres rectangulos de iluminación en color negro brillante con iluminación blanco calido,MESSIER-II-NBR-BC
Luminarios suspendio con tres rectangulos de iluminación en color negro brillante con iluminación blanco neutro,MESSIER-II-NBR-BN
Luminarios suspendio con tres rectangulos de iluminación en color negro brillante con iluminación luz de día,MESSIER-II-NBR-LD
Luminarios suspendio con tres rectangulos de iluminación en color negro con iluminación blanco calido,MESSIER-II-NG-BC
Luminarios suspendio con tres rectangulos de iluminación en color negro con iluminación blanco neutro,MESSIER-II-NG-BN
Luminarios suspendio con tres rectangulos de iluminación en color negro con iluminación luz de día,MESSIER-II-NG-LD
Luminarios suspendio con tres rectangulos de iluminación en color negro rugoso con iluminación blanco calido,MESSIER-II-NR-BC
Luminarios suspendio con tres rectangulos de iluminación en color negro rugoso con iluminación blanco neutro,MESSIER-II-NR-BN
Luminarios suspendio con tres rectangulos de iluminación en color negro rugoso con iluminación luz de día,MESSIER-II-NR-LD
Luminario para sobreponer con simulacion de transcurso de día con nubes 120x60,EWINDOW-120X60/CLOUDY-SKY/SMF
Accesorio de union con cable para base de track light en color blanco,Tracc-ACC-BCB-BN
Accesorio de union con cable para base de track light en color negro,Tracc-ACC-BCB-NG
Accesorio de conexión para entrada de voltaje para tracklight en color blanco,Tracc-ACC-CC-BN
Accesorio de conexión para entrada de voltaje para tracklight en color negro,Tracc-ACC-CC-NG
Conector a 90° horizontal para base de tracklight slim en color blanco,Tracc-ACC-LH-BN
Conector a 90° horizontal para base de tracklight slim en color negro,Tracc-ACC-LH-NG
Conector a 90° vertical para base de tracklight slim en color blanco,Tracc-ACC-LV-BN
Conector a 90° vertical para base de tracklight slim en color negro,Tracc-ACC-LV-NG
Conector recto para base de tracklight slim en color blanco,Tracc-ACC-R-BN
Conector recto para base de tracklight slim en color negro,Tracc-ACC-R-NG
Accesorio para suspender para base de tracklight para suspender o sobreponer,Tracc-ACC-SP
Tapa cubre  salida de cable para base de track light slim en color blanco,Tracc-ACC-TP-BN
Tapa cubre  salida de cable para base de track light slim en color negro,Tracc-ACC-TP-NG
Accesorios de union para base de tracklight para suspender o sobreponer,Tracc-ACC-UN-A
Spot fijo para tracklight magnético de 48V en color blanco con iluminación en 3000 K,Tracc-Cylinn-6W-3000K-BN
Spot fijo para tracklight magnético de 48V en color negro con iluminación en 3000 K,Tracc-Cylinn-6W-3000K-NG
Spot fijo para tracklight magnético de 48V en color blanco con iluminación en 4000 K,Tracc-Cylinn-6W-4000K-BN
Spot fijo para tracklight magnético de 48V en color negro con iluminación en 4000 K,Tracc-Cylinn-6W-4000K-NG
Spot dirijible para tracklight magnetico de 48V en color blanco con iluminación en 3000 K,Tracc-Cylinn-Exten-9W-3000K-BN
Spot dirijible para tracklight magnetico de 48V en color negro con iluminación en 3000 K,Tracc-Cylinn-Exten-9W-3000K-NG
Spot dirijible para tracklight magnetico de 48V en color blanco con iluminación en 4000 K,Tracc-Cylinn-Exten-9W-4000K-BN
Spot dirijible para tracklight magnetico de 48V en color negro con iluminación en 4000 K,Tracc-Cylinn-Exten-9W-4000K-NG
Spot dirijible con cubierta opalina para tracklight magnetico de 48V en color blanco con iluminación en 3000 K,Tracc-Cylinn-Flat-10W-3000K-BN
Spot dirijible con cubierta opalina para tracklight magnetico de 48V en color negro con iluminación en 3000 K,Tracc-Cylinn-Flat-10W-3000K-NG
Spot dirijible con cubierta opalina para tracklight magnetico de 48V en color blanco con iluminación en 4000 K,Tracc-Cylinn-Flat-10W-4000K-BN
Spot dirijible con cubierta opalina para tracklight magnetico de 48V en color negro con iluminación en 4000 K,Tracc-Cylinn-Flat-10W-4000K-NG
Spot fijo triple para tracklight magnético de 48V en color blanco con iluminación en 3000 K,Tracc-Cylinn-Tre-8W-3000K-BN
Spot fijo triple para tracklight magnético de 48V en color negro con iluminación en 3000 K,Tracc-Cylinn-Tre-8W-3000K-NG
Spot fijo triple para tracklight magnético de 48V en color blanco con iluminación en 4000 K,Tracc-Cylinn-Tre-8W-4000K-BN
